Bandgap (eV),Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),J0 (mA/cm^2)
0.624,0.418630909375,61.4545935522,77.7274305934,19.9967746942,5.69983461743e-06
0.626,0.420437856451,61.3728353395,77.7945588374,20.0736904658,5.30797298252e-06
0.628,0.422249413122,61.3009666937,77.8604879737,20.1536401165,4.94295906425e-06
0.63,0.424069047037,61.2471749045,77.9254024099,20.2395889992,4.60296035786e-06
0.632,0.425897999882,61.214359515,77.9916877662,20.333270071,4.28626891996e-06
0.634,0.427733704081,61.1964154696,78.0575194097,20.432156331,3.99129294034e-06
0.636,0.429571655598,61.1826760624,78.1222481686,20.5323575746,3.71654888122e-06
0.638,0.431410792148,61.1706315724,78.1864940338,20.6331582471,3.46065414585e-06
0.64,0.433253040605,61.1648464027,78.2516983353,20.7365871277,3.22232024106e-06
0.642,0.435097224665,61.1625423289,78.3158437711,20.8411401347,3.00034640068e-06
0.644,0.436942380868,61.1614460757,78.378916274,20.9460034259,2.79361363894e-06
0.646,0.438788203349,61.1608404369,78.4423039866,21.0512907229,2.6010792049e-06
0.648,0.44063465463,61.1606431623,78.5057691618,21.1569113784,2.42177141128e-06
0.65,0.442481636359,61.1606279344,78.5681820607,21.2624787017,2.25478481219e-06
0.652,0.444329072785,61.1606218575,78.6295523227,21.3679287015,2.09927570666e-06
0.654,0.446176940534,61.1605758883,78.6918299286,21.4737717178,1.95445794591e-06
0.656,0.448025213384,61.1604341969,78.7535927983,21.5796000358,1.819599024e-06
0.658,0.449873939797,61.1603175802,78.8143445149,21.6853200388,1.69401643276e-06
0.66,0.451723136476,61.1602716517,78.8740970805,21.7909488518,1.5770742633e-06
0.662,0.453572779677,61.1602462809,78.935208845,21.89711863,1.46818003746e-06
0.664,0.455422867371,61.1602426558,78.9953690999,22.0031908523,1.36678175372e-06
0.666,0.45727338549,61.1602334347,79.0545589633,22.1091466064,1.27236513315e-06
0.668,0.4591243349,61.1602265497,79.1131004263,22.2150759537,1.18445105189e-06
0.67,0.460975714058,61.1602241925,79.1726898419,22.321455735,1.1025931476e-06
0.672,0.462827518096,61.1602206284,79.2313374854,22.4277240178,1.02637558824e-06
0.674,0.464679745488,61.1602179859,79.2890535793,22.533881257,9.55410991986e-07
0.676,0.466532393435,61.1602153288,79.3463710413,22.6400759128,8.89338488433e-07
0.678,0.468385412455,61.160101239,79.4044944807,22.7466079116,8.27821911204e-07
0.68,0.470238649919,61.1595202208,79.4617070363,22.8528454318,7.70548113329e-07
0.682,0.472092047756,61.1583404527,79.5180153875,22.9587325831,7.17225396996e-07
0.684,0.473945071711,61.1553036259,79.5740405207,23.0639426293,6.67582049954e-07
0.686,0.475796830343,61.1483068829,79.6306933047,23.1678897566,6.21364981384e-07
0.688,0.47764613465,61.1345451868,79.6863782599,23.2689636834,5.78338450479e-07
0.69,0.479491343302,61.1101484802,79.7410349532,23.3655483604,5.38282881486e-07
0.692,0.481329267487,61.0676017344,79.7954471591,23.4547737151,5.0099375934e-07
0.694,0.48316130855,61.0102551879,79.8501222994,23.5380551443,4.66280600442e-07
0.696,0.484990790531,60.945991718,79.9037796974,23.6181547299,4.33965993494e-07
0.698,0.486816315285,60.8715462787,79.956364628,23.693678908,4.03884705626e-07
0.7,0.488636123301,60.7828243935,80.0095431851,23.7633813312,3.75882849416e-07
0.702,0.490452771595,60.6858959657,80.0622838003,23.8293905784,3.49817106654e-07
0.704,0.492267282217,60.5832007852,80.1139845115,23.8924958252,3.25554005002e-07
0.706,0.494079499539,60.4744095762,80.1651604194,23.9526813706,3.02969243976e-07
0.708,0.495890982934,60.3632016837,80.2171905136,24.0118668016,2.81947066879e-07
0.71,0.497702693879,60.2518368514,80.2682536014,24.0704437624,2.62379675593e-07
0.712,0.49951482672,60.1407736338,80.3183621997,24.1286063474,2.44166685286e-07
0.714,0.501326798282,60.0286617306,80.3692276038,24.1862967018,2.27214616351e-07
0.716,0.50313866305,59.9156387708,80.4197580259,24.2432392367,2.11436421029e-07
0.718,0.504949379583,59.7993063159,80.4693085523,24.2982087384,1.96751042363e-07
0.72,0.506758827484,59.6794111672,80.518437851,24.3512462565,1.83083003286e-07
0.722,0.508567266361,59.5565783244,80.5683530028,24.4029667342,1.70362023786e-07
0.724,0.510375568848,59.4328375817,80.6173250693,24.453708266,1.58522664247e-07
0.726,0.512184073516,59.3089768789,80.6653678225,24.5038102369,1.47503993169e-07
0.728,0.513991527247,59.1821336913,80.714208066,24.5525480003,1.37249277629e-07
0.73,0.515797667555,59.0517330894,80.762624658,24.5992828631,1.27705694905e-07
0.732,0.517604011442,58.9212615664,80.8101227927,24.6453753649,1.1882406385e-07
0.734,0.519411023308,58.7917812913,80.8573920203,24.6915020786,1.10558594644e-07
0.736,0.521218036049,58.6617774852,80.9053435349,24.7372751663,1.02866655693e-07
0.738,0.523026186582,58.5338332494,80.9524244631,24.7833642272,9.57085564837e-08
0.74,0.524834728845,58.4062549619,80.9986237406,24.829019225,8.90473453279e-08
0.742,0.526642000093,58.2752973251,81.0456722877,24.873094428,8.28486209578e-08
0.744,0.528451568528,58.1490138558,81.0923436348,24.9188156581,7.70803570443e-08
0.746,0.530261553509,58.023158338,81.1381574493,24.9641420889,7.17127387458e-08
0.748,0.532068998365,57.89111186,81.1836378126,25.0062376204,6.67180104684e-08
0.75,0.533877025109,57.7598968829,81.2298447054,25.0485888347,6.20703340723e-08
0.752,0.535686477589,57.6313941942,81.2752317687,25.0915809676,5.77456568085e-08
